说话人01(00:00:06): 你有什么想法没有？

说话人02(00:00:08): 要不先定个目的地？

说话人01(00:00:11): 可以。目的地的话，现在5月份。5月份我觉得比较适合去。青海。

说话人02(00:00:24): 你是说国内旅行还是出国还是？可以在国内青海。其实我并不了解青海。青海有什么好玩的吗？

说话人01(00:00:40): 青海主要是看海这段时间。然后这段时间应该气温也比较合适。不是青海说错了，青岛。

说话人02(00:00:50): 青岛，青岛，青岛，青岛。

说话人01(00:00:55): 或者你有什么其他的？

说话人02(00:00:59): 目的地。想法我想想5月份的话。国内的话。感觉想去。山东那边确实挺好的。也适合去旅游？那那要不就签到吧？

说话人01(00:01:22): 青岛还有一个问题，就是这次旅游的时间。是多少？我们要根据这个时间来。确定我们是去青岛还是再加上其他一些城市？

说话人02(00:01:39): 时间的话。如果旅游想凑人少的话，最好可以工作日去。只要你没有课。

说话人01(00:01:50): 工作日。工作日的话我觉得两到三天。一个城市。

说话人02(00:01:59): 我觉得是可以的。清早两到三天。清扫之后。青岛之后的话。山东那边还有什么好玩的？

说话人01(00:02:17): 山东。山东不是还有一个很火的那个什么？淄博。

说话人02(00:02:28): 淄博是吗。是，好像是。那是不是可以？

说话人01(00:02:36): 但是考虑到地理上的这个。距离的话，淄博和青岛离的其实还有点距有点远。来说的话得废废掉一些时间。那一点的话。可以看一下青岛地图。青岛。山东的地图。

说话人02(00:03:03): 那考虑去济南吗？

说话人01(00:03:07): 济南也济南？挺远，济南在我看一下在山东的西边偏西边。

说话人02(00:03:14): 所以清早。

说话人01(00:03:17): 对靠海。靠海就在东边了？

说话人02(00:03:23): 其实日照好像也还可以。

说话人01(00:03:28): 日的日照对，离得挺近的。日照。

说话人02(00:03:37): 所以可以去两个城市是吧？

说话人01(00:03:42): 其实一般来说的话。可能去一次旅游两个城市。是比较好的节奏。如果说我看我看我看一下，如果说青岛这个城市。周围没有什么其他地方的话。也可以往北边看看。那个烟台蓬莱威海这一块我？这三个地方连在一起？应该。就能比较顺畅的走下去。可以。那个。

说话人02(00:04:18): 我觉得可以。愤怒的。

