说话人01(00:00:02): 我滴辛苦。那我先通读一下题目<笑声>摄影技术交流会。

说话人02(00:00:18): 好的，我觉得这个是个语音技术。那我有点大。我也觉得。

说话人01(00:00:26): 我感觉这个是不是咱们得？先搜一下，比如什么？同学之间是吧，就局限在什么清华大学？的校内同学之间的摄影。技术交流分享会。

说话人02(00:00:42): 清华大学校内吗那？就是你说的是面向人群是吧？

说话人01(00:00:50): 对对对对对！

说话人02(00:00:55): 也可以，可以考虑。清华大学校内面向校内同学的摄影技术专门会。那还有一个就是我觉得摄影摄影技术这个概念也可以稍微说一下。因为摄影技术对你看应该分分为很多类，什么人物风光还有什么？就是，就有很多类摄影，如果是面向清华大学校内的。学生的话。要不你想一下哪一类摄影比较适合一点？

说话人01(00:01:33): 那我觉得要不就人物和风光选一类吧。<笑声>学校。唉，其实我觉得都可以，要不就。

说话人02(00:01:47): 但清华大学相对的话，可能人物比较更加。

说话人01(00:01:50): 使用一点行，那要不就人物，人物这里？

说话人02(00:02:00): 我可能。

说话人01(00:02:02): 类似于什么拍毕业照什么的就都是人物摄影。

说话人02(00:02:07): 对，我觉得人物摄影可能面向清华大学校内同学的应用点。有可能在于第一个就像刚刚说的那个拍毕业照，然后第二个就是大家可能会经常。碰到的，比如说活动。在活动现场怎么去拍这种活动现场的那种人人物的那种照片拍人像。就是一些大型活动。

说话人01(00:02:34): 明白，然后那所以我们这边。我觉得可以，后面按照这种。活动的类型或者说场景的类型。然后划分成两三个场景，然后请学长或者专业的那种摄影队的同学，然后来讲解一下。

说话人02(00:02:54): 对。

说话人01(00:02:57): 那我们。这个交流会就我感觉一般这种活动是不是就是分成？这种专业人士介绍，然后再加上一块，就可能同学们自由讨论。之类的，可能这种两大块。

说话人02(00:03:11): 其实我我觉得可可以，还有还加一项内容，就是可以组织一个比如说小规模小一点的实践类型的活动，因为摄影技术可能。比较重要的是实践，从实践操操作当中，你去去感悟是怎么样去拍的，我觉得可以限制一个小范围的人群，然后组织一个就是比如说一个比较专业的。人是带着大家一起去拍什么什么场景去讲解，怎么样去更好的拍这个场景就相当于一次，比如说在校园内。

说话人01(00:03:48): 我觉得可以，那就相当于是这种知识讲解加实验活动这种结合的形式。那我觉得可以。咱们就看一下这种知识大概需要。分多少时长出来讲？可能讲个一个小时左右，然后组织一次，可能两个小时的。写生唉，不是写生的，就是拍照的活动，然后。大概分成小组，然后有那种可能刚刚讲课的老师，然后带着一些去。拍照。也可以，我觉得可以。那我觉得要不支持？要不支持就就就就就一个小时。您那边怎么想？还有具体哪些方面？

说话人02(00:04:48): 哪些方面。我想想。一般来讲就我我我觉得得看这个。活动它是偏向入门级的还是？专业级的我觉得像刚刚咱们这个。就面向清华大学校内同学的话，可能这是一个更偏向于入门级的活动，一个技术教。

说话人01(00:05:22): 可以，那就偏向入门级一点的。感觉您对摄影这边可能懂的比较多。

说话人02(00:05:34): 对，也结合各个场景来那个？和要素来讲解一下这些图是怎么样构成的。然后我觉得可以，技术技术方面可以讲一下，然后呢？也可以，也可以讲，就是讲一下，比如说这个人物摄影方面有哪些就是在。他们的这个专业领域有哪些流派，然后就是这些流派，他们的风格是什么样子，就是带大家了解一下这个圈子领域的相当于历史的感觉吧。

说话人01(00:06:22): 没问题，那感觉就是分三部分就是第一部分就是讲解一些case，然后第二部分讲解一些技术，然后第三部分讲一些这种历史的。发展和变化。

说话人02(00:06:38): 就是偏向于。个性的展现的部分吧，应该就是摄影摄影技术里面。很个个性，然后这个知识讲解刚刚应该还有一部分可以安排大家自由讨论，提问交流。这种我觉得可以可以。

说话人01(00:06:59): 那咱们这个讲解就请一个。

说话人01(00:07:02): 专业人员还是你们觉得可以请？多个。

说话人02(00:07:06): 我觉得可以。我觉得可以请多个，因为技术交流的话，我觉得至少得请一个。比较专业的业内人士吧。然后还有就是这个活动肯定是要那个。就是叫那个清华摄影协会的同学帮忙协助协办的，我觉得可以请他们那个摄影队里面的一些比较有经验的同学也可以过来讲。我觉得专家就是比较有经验丰富的人的话，可以请两个摄影队的同学可以请一个。增加我觉得摄影队的同学的话可以。

说话人02(00:07:51): 偏重于讲第三个部分就是就是一些介绍事实的部分，对，就是像这种技术的方向的话，可以交给哪些比较专业的。哪些摄影师来讲？

