说话人02(00:00:04): 好。好的。

说话人01(00:00:09): 那就开始。我的jeff哥哥。这个。那就。按照我们之前商量的，然后讲。这个。少女乐队这种动画类型的。发展。以及可能未来的一些趋势。然后看这个发展过程中。是不是跟什么？当时的社会什么会不会有关系？可能就像我们。之前做那个日本电影分析的那种？

说话人01(00:00:42): 就是分析一些社会背景之类的。

说话人02(00:00:47): 所以说咱们是要进行一个小组汇报。

说话人01(00:00:51): 对我们。需要做一个？20页的PPT然后汇报？十分15分钟。对。

说话人02(00:01:05): 所以说。咱们小组就我们两个人？

说话人01(00:01:11): 是的。另外一个大哥估了，所以是我们两个。

说话人02(00:01:16): 他可是哭了。跑得上的那个那？那我们。到你乐队翻能力这个发展与趋势的话。进行一个什么？分工。

说话人01(00:01:30): 可以，我觉得没问题。我们。15分钟。

说话人02(00:01:38): 对我们，我们，我们是不是先决定15分钟怎么分配？

说话人01(00:01:44): 对，我觉得可以想想要讲哪几部分的内容。

说话人02(00:01:50): 既然是发展与历史的话。我们可以。就是。把一个时间线给捋出来，然后每一个每一个时间节点。选一个什么有代表性的什么东西？

说话人01(00:02:05): 对，我觉得可能。分为几部分就是第一部分？就是像你说的就是时间线的整理，就是相当于梳理一下经典的作品，然后第二个部分，然后给它做成一些。这种case study我们就挑几部作品出来，然后深入的分析一下，就是可能这里的分析就是分析玉和作品本身就是包括它的什么作画。然后。故事的什么导演分镜什么之类的，就是可能偏。这个动画本身，然后可能第三点我们才。结合动画去分析什么社会背景，或者说是。反映的更深层次的东西。我觉得这样可以。

说话人02(00:02:59): 我觉得可以的。也就是说。可以。然后我们觉得。15分钟的话。可能。然后去。这个introduction conclusion。这个大概剩个13分钟。的时间。然后超可以讲四到五部作品之类的，或者说这个可以之后再调整。

说话人01(00:03:23): 可以。行，我觉得就是。你是说。深入分析我们分析四到五部。报五户会不会有点？太多了。就是我觉得一步讲清楚，可能34分钟是需要的。

说话人02(00:03:45): 就是也可能太多的话，要不就这样，就是首先这个少女乐队的鼻祖分析一下。然后呢？然后转拐点得分析一下，然后现代的得分析一下。就是至少得有三部这种作品。

说话人01(00:04:03): 我确实我觉得有道理。

说话人02(00:04:07): 所以说。你你那边是知道什么鼻祖级别的作品是什么吗？

说话人01(00:04:14): 我感觉。我感觉是不是就是先得把那个时间线给整理出来，就是比如说我们先去搜索一波，就是可能看看近十年或者20年来的那些作品。然后一方面是？看他的timeline就是我们。汇报的第一部分就是timeline可能需要这些作品，然后我们再整理出来那些作品里面。然后再挑三步？然后我们看一下底柱拐点和现代作品分别是哪几个？

