说话人01(00:00:02): 真实电影。我们是放一个电影，你在干啥？让他们讨论一下。

说话人02(00:00:15): 我觉得。看它主题是一个班级电影交流会。他是不是可以？再有一些同学们，比如说分享自己感受或者一些。就是讨论交流的环节。

说话人01(00:00:33): OK. 我们要放电影吗？还是不用。

说话人02(00:00:45): 我觉得我们可以就是不用放一部整的电影，可能是提前收集一些大家比如说感兴趣的，或者希望分享的这种片段，然后来在交流的过程中去播放这些片段。

说话人01(00:01:00): ok也就是说。我们提前先调查一下他们。是。喜欢什么电影？然后再看一下投票率高的电影给放放映一下。类的。

说话人02(00:01:16): 我觉得可以。

说话人01(00:01:19): 可以的。

说话人02(00:01:21): 就比如说我们可以先大概确定一下这次活动的范围和时长。

说话人01(00:01:30): 范围是指。

说话人02(00:01:32): 比如说这只是咱们班的同学。还是。

说话人01(00:01:38): 应该是咱们班的吧，因为是什么班级电影交流会。

说话人02(00:01:43): Ok那就是限定在班级的同学。那时间的话可以是。比如说。周末晚上的两个小时。

说话人01(00:01:58): 周末晚上。可以。周末晚上七到九点。

说话人02(00:02:04): 可以，周末的七到九点。

说话人01(00:02:09): 然后。我们应该要搞一个什么主题吧？

说话人02(00:02:19): 推荐一下活动主题。

说话人01(00:02:24): 主题的话。

说话人01(00:02:36): 或者说我做个问卷。问一下。他们对什么主题感兴趣，先让他们先投个票。

说话人02(00:02:45): 你的意思就是我们在前期调查的时候？目光就是问同学你喜欢哪个影片，你可以去问他一下，问大家喜欢什么样的。对，就是说更大一点的类型，然后我们可以聚焦一个类型来讨论。

说话人01(00:03:02): 对。然后。或者说。影片的话，我们如果想的不够全面的话。可以调查问卷，让同学们投个稿，然后比如说他从哪个电影到哪个片段。然后我们筛选一下。比如说就是。这个问题就可以做成您对什么主题感兴趣，让他选了一个之后，然后就马上跟踪一个问题，让他给两个例子。之类的什么影片可以，然后我们再去研究一下。

说话人02(00:03:33): 可以。那就。那我去。

说话人01(00:03:40): 然后待会去发一个调查问卷。

说话人02(00:03:47): 那在就是有了这个调查问卷之后，我们下一步就是去根据这些调查问卷来。筛选这个具体的片段。那我们的活动形式？我们来结合这些选出来的片段。

说话人01(00:04:10): 提示的话。要么就是。放一个片面讨论一下，要么就是。片段都放完了，讨论一下，我觉得片段都放完了，讨论一下的话，有可能只记得后面的片段了，所以不如放一个讨论一个。

说话人02(00:04:30): 那我们是不是可以比如说。以这个类型为划分，比如说大家筹划了三种类型，然后每个类型下面有，比如大家指的。34个片段你可以把这一个类型的片段放完之后，然后大家做一个讨论，就有点像那种。

说话人02(00:04:48): 分论坛的形式。

说话人01(00:04:50): 我觉得可行。34个片段为一个类型。

说话人02(00:04:59): 然后比如说我们可以筛选出。三个类型的。

说话人01(00:05:08): 我想一想。如果是两个小时的话。三个类型，每个类型的片段放个几分钟。顶多十分钟。的话可能时间不太够。

说话人02(00:05:21): 那可能两个类型。

说话人01(00:05:26): 一些屏。两个类型我总觉得。在搞这个电影活动就搞两个类型，稍微有一点奇葩。

说话人02(00:05:38): 好，现在。

说话人01(00:05:40): 就要么就一个人。

说话人02(00:05:45): 也可以，那就是说。根据前端投票选择一个类型，然后可以在这个类型下面。播放一些不同的片段。

说话人01(00:06:00): 我觉得可以。

说话人02(00:06:10): 那我们。你说。

说话人01(00:06:14): 没有没有你说。

说话人02(00:06:16): 或者说就是我们是不是还需要在前期确认一下就是？我们需要准备哪些，比如说。物资或者场地这种？对。有道理。

说话人01(00:06:31): 就是接场地？

说话人02(00:06:35): 对，因为毕竟播放电影我们可能要选一个。就是比如说有一个屏幕比较好的地方。可以。

说话人01(00:06:47): 哪些地方可以呢？

说话人02(00:06:51): 比如说一楼的那个三层就有一个。就在你大家后面有一排那种弧形的椅子，然后还有两个大屏幕的那种。

说话人01(00:07:04): 好像是有那么个地方，好像那个地方是可以。在那里能容纳一个班的人吗？

说话人02(00:07:10): 对，那你可以容纳一个班的人。

说话人01(00:07:12): 那好，那好。

说话人02(00:07:15): 是在预定一下这个教室。

说话人01(00:07:19): 预定一下C楼的这个场地。资的话就给他班费。如果。

说话人01(00:07:28): 大家想想的话，买点零食什么的？

说话人02(00:07:33): 所以感觉看电影片段还是需要一些。分为加持。

说话人01(00:07:50): 差不多了。分享一个。发个调查问卷，先看一看结果，然后再来进一步确定。

说话人02(00:08:04): 确实感觉也可以根据大家投票的这个。分布来判断一下我们是怎么样安排这个讨论的环节。

说话人01(00:08:14): 我可以问一下他们。哪一周时间有空什么的？好的。我觉得可行，那先发个调查问卷问问吧。

说话人02(00:08:28): Ok那我这边也没有什么问题。好的。

说话人01(00:08:35): 差不多讨论完。
